# bookmadebook 每日选题池
# 列: 书名 | 主题 | 声音 | 视频场景 | 状态(待用/已用) | 使用日期
# 声音: husky_tender=散文温柔(qwen-tts-vd-husky_tender-voice-20260821220323362-ebb0) / hist_deep_male=历史厚重(qwen-tts-vd-hist_deep_male-voice-20260821204552033-d7bc) / design_kid=儿童
# 场景: 见 video_composer --theme 选项
人类群星闪耀时 | 历史传记 | 云健 | starry | 已用 | 2026-08-17
李鸿章传 | 历史传记 | 云健 | palace | 已用 | 2026-08-17
拿破仑传 | 历史传记 | 云健 | ww2 | 已用 | 2026-08-17
王阳明大传 | 历史传记 | 云健 | palace | 已用 | 2026-08-18
万历十五年 | 历史传记 | 云健 | palace | 已用 | 2026-08-18
曾国藩传 | 历史传记 | 云健 | palace | 已用 | 2026-08-18
饥饿的盛世 | 历史传记 | 云健 | palace | 已用 | 2026-08-19
梵高传 | 历史传记 | 云健 | starry | 已用 | 2026-08-19
人间草木 | 惬意生活 | 晓晓 | warm_home | 已用 | 2026-08-20
瓦尔登湖 | 惬意生活 | 晓晓 | forest | 已用 | 2026-08-20
浮生六记 | 惬意生活 | 晓晓 | warm_home | 已用 | 2026-08-21
我的阿勒泰 | 惬意生活 | 晓晓 | pasture | 已用 | 2026-08-21
日日是好日 | 惬意生活 | 晓晓 | warm_home | 已用 | 2026-08-22
我与地坛 | 惬意生活 | husky_tender | library | 已用 | 2026-08-24
我们仨 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-08-25
也是冬天，也是春天 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-08-25
左宗棠传 | 历史传记 | hist_deep_male | palace | 已用 | 2026-08-25
雅舍小品 | 惬意生活 | husky_tender | guyuan | 已用 | 2026-08-26
显微镜下的大明 | 历史传记 | hist_deep_male | palace | 已用 | 2026-08-26
一个人的村庄 | 惬意生活 | husky_tender | pasture | 已用 | 2026-08-27
康熙大帝 | 历史传记 | hist_deep_male | palace | 已用 | 2026-08-27
解忧杂货店 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-08-28
长安的荔枝 | 历史传记 | hist_deep_male | palace | 已用 | 2026-08-28
山茶文具店 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-08-31
云边有个小卖部 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-08-31
岛上书店 | 惬意生活 | husky_tender | library | 已用 | 2026-08-31
一个叫欧维的男人决定去死 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-09-01
外婆的道歉信 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-09-01
佐贺的超级阿嬷 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-09-01
老派少女购物路线 | 惬意生活 | husky_tender | warm_home | 已用 | 2026-09-01
正是橙黄橘绿时 | 惬意生活 | husky_tender | guyuan | 待用 | 
心安即是归处 | 惬意生活 | husky_tender | guyuan | 待用 | 
皮囊 | 惬意生活 | husky_tender | warm_home | 待用 | 
人间值得 | 惬意生活 | husky_tender | warm_home | 待用 | 
明天也是小春日和 | 惬意生活 | husky_tender | pasture | 待用 | 
步履不停 | 惬意生活 | husky_tender | warm_home | 待用 | 
海鸥食堂 | 惬意生活 | husky_tender | warm_home | 待用 | 
芒果街上的小屋 | 惬意生活 | husky_tender | library | 待用 | 
命运 | 惬意生活 | husky_tender | warm_home | 待用 | 
明朝那些事儿 | 历史传记 | hist_deep_male | palace | 已用 | 2026-08-31
张居正大传 | 历史传记 | hist_deep_male | palace | 已用 | 2026-09-01
武则天传 | 历史传记 | hist_deep_male | palace | 已用 | 2026-09-01
岳飞传 | 历史传记 | hist_deep_male | ww2 | 待用 | 
